,Baths,Beds,House size,Location,PriceR
687,2.0,3.0,150000.0,"Athurugiriya,  Colombo",16500000.0
688,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14500000.0
690,4.0,5.0,206700.0,"Athurugiriya,  Colombo",22000000.0
696,2.0,3.0,150000.0,"Athurugiriya,  Colombo",16500000.0
698,4.0,4.0,260000.0,"Athurugiriya,  Colombo",29000000.0
699,2.0,3.0,135000.0,"Athurugiriya,  Colombo",14500000.0
700,4.0,5.0,206700.0,"Athurugiriya,  Colombo",22000000.0
701,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14500000.0
703,4.0,4.0,260000.0,"Athurugiriya,  Colombo",29000000.0
705,4.0,4.0,240000.0,"Athurugiriya,  Colombo",33500000.0
707,4.0,4.0,260000.0,"Athurugiriya,  Colombo",29000000.0
708,2.0,3.0,135000.0,"Athurugiriya,  Colombo",14500000.0
709,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14500000.0
714,2.0,3.0,150000.0,"Athurugiriya,  Colombo",16500000.0
715,2.0,3.0,135000.0,"Athurugiriya,  Colombo",14500000.0
719,2.0,5.0,206700.0,"Athurugiriya,  Colombo",22000000.0
720,4.0,4.0,260000.0,"Athurugiriya,  Colombo",29000000.0
723,4.0,5.0,206700.0,"Athurugiriya,  Colombo",22000000.0
725,4.0,4.0,260000.0,"Athurugiriya,  Colombo",29000000.0
726,2.0,3.0,150000.0,"Athurugiriya,  Colombo",16500000.0
728,4.0,4.0,260000.0,"Athurugiriya,  Colombo",29000000.0
729,2.0,3.0,150000.0,"Athurugiriya,  Colombo",16500000.0
734,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14500000.0
736,4.0,5.0,206700.0,"Athurugiriya,  Colombo",22000000.0
740,2.0,5.0,206700.0,"Athurugiriya,  Colombo",22000000.0
741,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14500000.0
743,4.0,4.0,260000.0,"Athurugiriya,  Colombo",29000000.0
746,4.0,5.0,206700.0,"Athurugiriya,  Colombo",22000000.0
749,4.0,5.0,206700.0,"Athurugiriya,  Colombo",22000000.0
750,2.0,5.0,653400.0,"Badulla City,  Badulla",30000000.0
751,1.0,4.0,280000.0,"Badulla City,  Badulla",29000000.0
752,2.0,9.0,300000.0,"Badulla City,  Badulla",29000000.0
753,1.0,2.0,140000.0,"Badulla City,  Badulla",5700000.0
754,1.0,2.0,190000.0,"Badulla City,  Badulla",13500000.0
755,2.0,3.0,150000.0,"Badulla City,  Badulla",19000000.0
756,3.0,7.0,298400.0,"Badulla City,  Badulla",28000000.0
757,2.0,3.0,157700.0,"Badulla City,  Badulla",19500000.0
758,1.0,4.0,280000.0,"Badulla City,  Badulla",29000000.0
759,1.0,2.0,140000.0,"Badulla City,  Badulla",5700000.0
